"","Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","Number_of_ Contrasts","Number_of_Coefficients","tau2_ResidualHeterogeneity","SE_tau2_ResidualHeterogeneity","QE_CochransQ_Teststat","QEp_CochransQ_pval","I2_PercentVar_TrueHeterogeneity","H2_Ratio_EffectHetero_overSamplVar","PubBias_Egger_Zstat","PubBias_Egger_pval","PubBias_Egger_DF","Leave1Out_Min_Log2FC","Leave1Out_Max_Log2FC","Leave1Out_Min_Pval","Leave1Out_Max_Pval","FDR","QEp_FDR","Egger_FDR","DB.Class.Key","Mouse_Common.Organism.Name","Mouse_NCBI.Taxon.ID","Mouse_Symbol","Mouse_EntrezGene.ID","Mouse_Mouse.MGI.ID","Mouse_HGNC.ID","Mouse_OMIM.Gene.ID","Mouse_Genetic.Location","Mouse_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Mouse_Name","Mouse_Synonyms","Mouse_ENSEMBLGene.ID","Ensembl_Entrez","Rat_Common.Organism.Name","Rat_NCBI.Taxon.ID","Rat_Symbol","Rat_EntrezGene.ID","Rat_Mouse.MGI.ID","Rat_HGNC.ID","Rat_OMIM.Gene.ID","Rat_Genetic.Location","Rat_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Rat_Name","Rat_Synonyms","Rat_Ensembl","Rat_DBSymbol","Rat_DBName","MouseRat_GeneSymbol"
"Unk_Unk",-0.0571416010830364,0.0398248409778001,0.1513375186028,-0.135196855089559,0.0209136529234867,9,10,1,0,0.00696382845460673,5.74160000255952,0.765475548766008,0,1,-0.492433217679665,0.622413121528076,NA,-0.0661174147189761,-0.0376263261948611,0.10513888669856,0.362359719386257,0.732532386482286,1,1,"51437157","mouse, laboratory","10090","Unk","217331","MGI:2442456","","","Chr11  cM","Chr11:115921148-115952040(+)","unkempt family zinc finger","B230379M23Rik|mKIAA1753|Zc3h5","ENSMUSG00000020770","ENSMUSG00000020770_217331","rat","10116","Unk","360663","","","","Chr10 q32.1","","unk zinc finger","Zc3h5|Zc3hdc5","ENSRNOG00000006600","Unk","unk zinc finger","Unk_Unk"
"Ccdc126_Ccdc126",-0.0513356119909297,0.0368685421031543,0.163802503253292,-0.123596626675611,0.0209254026937514,9,10,1,0,0.00563393896256609,4.31909454036616,0.889184068983851,0,1,1.22210626508882,0.221667444207282,NA,-0.061096189807977,-0.0242625010473997,0.106113329675667,0.564774460361108,0.741422897598312,1,0.963768026821326,"51433855","mouse, laboratory","10090","Ccdc126","57895","MGI:1889376","","","Chr6  cM","Chr6:49296208-49318516(+)","coiled-coil domain containing 126","6330407D12Rik","ENSMUSG00000050786","ENSMUSG00000050786_57895","rat","10116","Ccdc126","500117","","","","Chr4 q24","","coiled-coil domain containing 126","RGD1561171","ENSRNOG00000009322","Ccdc126","coiled-coil domain containing 126","Ccdc126_Ccdc126"
"Hyal2_Hyal2",-0.0650624484347026,0.0438723107258877,0.13807555153837,-0.151050597375993,0.0209257005065877,9,10,1,8.91971045092241e-06,0.00819711064871291,9.68012922765643,0.376995649270648,0.0445927858776019,1.00044612679914,0.503392567717783,0.614688296009827,NA,-0.0866305553498788,-0.0397310800561693,0.0544645878104089,0.386176093069484,0.72434133212275,1,1,"51430838","mouse, laboratory","10090","Hyal2","15587","MGI:1196334","","","Chr9  cM","Chr9:107445144-107449978(+)","hyaluronoglucosaminidase 2","","ENSMUSG00000010047","ENSMUSG00000010047_15587","rat","10116","Hyal2","64468","","","","Chr8 q32","","hyaluronidase 2","","ENSRNOG00000031420","Hyal2","hyaluronidase 2","Hyal2_Hyal2"
"Os9_Os9",-0.0335571967320479,0.0277984729752639,0.22737064116992,-0.0880412025887751,0.0209268091246793,9,10,1,0,0.00328569462577147,2.62425310173122,0.9773530265076,0,1,-0.00207783970875375,0.998342124969519,NA,-0.0420342219311938,-0.0246015276531322,0.150175733565614,0.396438984877819,0.79548019139364,1,1,"51438044","mouse, laboratory","10090","Os9","216440","MGI:1924301","","","Chr10  cM","Chr10:126931519-126957000(-)","amplified in osteosarcoma","4632413K17Rik","ENSMUSG00000040462","ENSMUSG00000040462_216440","rat","10116","Os9","362891","","","","Chr7 q22","","OS9, endoplasmic reticulum lectin","Os-9","ENSRNOG00000025570","Os9","OS9, endoplasmic reticulum lectin","Os9_Os9"
"Ap1m1_Ap1m1",-0.035566105844581,0.0288265823681732,0.217279139467904,-0.0920651690835777,0.0209329573944158,9,10,1,0,0.00353139798403932,3.78528703635629,0.924967500613526,0,1,-0.171680199369187,0.863688953287287,NA,-0.0447439475392672,-0.0247114885556196,0.139659503909097,0.437769663271438,0.793459789629474,1,1,"51440367","mouse, laboratory","10090","Ap1m1","11767","MGI:102776","","","Chr8  cM","Chr8:72993862-73011229(+)","adaptor-related protein complex AP-1, mu subunit 1","Adtm1A|AP47|Cltnm|[m]1A|mu1A","ENSMUSG00000003033","ENSMUSG00000003033_11767","rat","10116","Ap1m1","306332","","","","Chr16 p14","","adaptor related protein complex 1 subunit mu 1","","ENSRNOG00000014454","Ap1m1","adaptor related protein complex 1 subunit mu 1","Ap1m1_Ap1m1"
"Atpaf2_Atpaf2",-0.0497298927613737,0.0360813736622591,0.168119789005085,-0.120448085652134,0.0209883001293861,9,10,1,0,0.00539243268211182,6.63232782601547,0.675338167038011,0,1,-0.297948910734274,0.765742156877897,NA,-0.069223250293083,-0.0393062665272021,0.0758832660707987,0.291383117428041,0.744289285411147,1,1,"51431152","mouse, laboratory","10090","Atpaf2","246782","MGI:2180561","","","Chr11  cM","Chr11:60291452-60309283(-)","ATP synthase mitochondrial F1 complex assembly factor 2","ATP12|ATP12p","ENSMUSG00000042709","ENSMUSG00000042709_246782","rat","10116","Atpaf2","303190","","","","Chr10 q22","","ATP synthase mitochondrial F1 complex assembly factor 2","","ENSRNOG00000003719","Atpaf2","ATP synthase mitochondrial F1 complex assembly factor 2","Atpaf2_Atpaf2"
"Pnma3_Pnma3",-0.0805136287257436,0.0518253604249547,0.12029022767719,-0.182089468644462,0.021062211192975,9,10,1,0,0.0107195464033797,4.25606204109245,0.893765331989528,0,1,-1.15679646744156,0.247355525455101,NA,-0.116763802023839,-0.0642438500909769,0.0460454347328595,0.234134650894086,0.701157797529219,1,0.966161874064203,"51444056","mouse, laboratory","10090","Pnma3","245468","MGI:2180565","","","ChrX  cM","ChrX:72108393-72111797(+)","paraneoplastic antigen MA3","","ENSMUSG00000046287","ENSMUSG00000046287_245468","rat","10116","Pnma3","293840","","","","ChrX","","PNMA family member 3","RGD1563752","ENSRNOG00000052022","Pnma3","PNMA family member 3","Pnma3_Pnma3"
"Ten1_Ten1",-0.0583261240382585,0.0405060813341411,0.149885791035354,-0.137716584608025,0.0210643365315082,9,10,1,0.000505214238614821,0.00669416424741987,9.76259230854727,0.370044506332995,2.92096252316254,1.03008849901153,0.285502119095302,0.775259481132532,NA,-0.0883113568887149,-0.0383138095851518,0.0520674535080643,0.352469954804062,0.7316700593576,1,1,"51428505","mouse, laboratory","10090","Ten1","69535","MGI:1916785","","","Chr11  cM","Chr11:116089681-116106144(+)","TEN1 telomerase capping complex subunit","2310004N24Rik","ENSMUSG00000020778","ENSMUSG00000020778_69535","rat","10116","Ten1","360664","","","","Chr10 q32.1","","TEN1 subunit of CST complex","RGD1311078","ENSRNOG00000060307","Ten1","TEN1 subunit of CST complex","Ten1_Ten1"
"Eya2_Eya2",-0.157991488531859,0.0913575979868447,0.0837421139368711,-0.337049090300163,0.0210661132364459,7,8,1,0,0.0333958301636565,2.30386327294128,0.941128708186887,0,1,1.18674383394646,0.235328679259884,NA,-0.17675569778279,-0.0927428769266415,0.0648909515280787,0.454449666796848,0.651076490459627,1,0.963768026821326,"51439222","mouse, laboratory","10090","Eya2","14049","MGI:109341","","","Chr2  cM","Chr2:165436952-165613647(+)","EYA transcriptional coactivator and phosphatase 2","","ENSMUSG00000017897","ENSMUSG00000017897_14049","rat","10116","Eya2","156826","","","","Chr3 q42","","EYA transcriptional coactivator and phosphatase 2","","ENSRNOG00000019203","Eya2","EYA transcriptional coactivator and phosphatase 2","Eya2_Eya2"
"Dlk1_Dlk1",-0.0936385501301917,0.0585246208560494,0.109601779794224,-0.20834469921691,0.0210675989565269,9,10,1,0.00109903579359647,0.0137048805482692,5.92022093685288,0.747875629368916,3.00217038853617,1.03095090272186,-1.55984633008424,0.118796199985688,NA,-0.151005123771581,-0.0599482901855636,0.0258994378768135,0.318939703160821,0.691188094153556,1,0.867844884375643,"51441721","mouse, laboratory","10090","Dlk1","13386","MGI:94900","","","Chr12  cM","Chr12:109418749-109429262(+)","delta like non-canonical Notch ligand 1","ZOG","ENSMUSG00000040856","ENSMUSG00000040856_13386","rat","10116","Dlk1","114587","","","","Chr6 q32","","delta like non-canonical Notch ligand 1","Zog","ENSRNOG00000019584","Dlk1","delta like non-canonical Notch ligand 1","Dlk1_Dlk1"
"Wwp2_Wwp2",-0.048259421685117,0.0353716603786756,0.17245657505662,-0.117586602100704,0.0210677587304696,9,10,1,0,0.00497263713521674,3.2703978608707,0.95260311111257,0,1,0.640502391675863,0.521846034751323,NA,-0.0595450398292598,-0.0347672493965851,0.104529756183527,0.416939818289736,0.750345310054086,1,1,"51430849","mouse, laboratory","10090","Wwp2","66894","MGI:1914144","","","Chr8  cM","Chr8:108162997-108285227(+)","WW domain containing E3 ubiquitin protein ligase 2","1300010O06Rik|AIP2","ENSMUSG00000031930","ENSMUSG00000031930_66894","rat","10116","Wwp2","291999","","","","Chr19 q12","","WW domain containing E3 ubiquitin protein ligase 2","","ENSRNOG00000012937","Wwp2","WW domain containing E3 ubiquitin protein ligase 2","Wwp2_Wwp2"
"Cpne6_Cpne6",-0.0449105416724346,0.0336637615804307,0.182173837219133,-0.110890301954222,0.0210692186093527,9,10,1,0,0.00496536084710277,2.31585983301457,0.985432689443701,0,1,0.293390147912293,0.769223955123571,NA,-0.0527901493548063,-0.0385440174088169,0.127835038607868,0.273429567638976,0.755902406249363,1,1,"51441511","mouse, laboratory","10090","Cpne6","12891","MGI:1334445","","","Chr14  cM","Chr14:55747902-55754888(+)","copine VI","neuronal copine","ENSMUSG00000022212","ENSMUSG00000022212_12891","rat","10116","Cpne6","691478","","","","Chr15 p13","","copine 6","","ENSRNOG00000018399","Cpne6","copine 6","Cpne6_Cpne6"
"Sdf2_Sdf2",-0.0396750757334164,0.0309941389572674,0.200515886033323,-0.10042247182149,0.0210723203546575,9,10,1,0.000293908926980959,0.0038369802672603,6.62425572951738,0.676174342481997,2.81965970424126,1.02901471321936,-0.6920013858945,0.488936458656276,NA,-0.0666900288441073,-0.0226538610845834,0.072435675015537,0.47105664904844,0.774578329659229,1,1,"51430129","mouse, laboratory","10090","Sdf2","20316","MGI:108019","","","Chr11  cM","Chr11:78136817-78146310(+)","stromal cell derived factor 2","","ENSMUSG00000002064","ENSMUSG00000002064_20316","rat","10116","Sdf2","287470","","","","Chr10 q25","","stromal cell derived factor 2","","ENSRNOG00000012121","Sdf2","stromal cell derived factor 2","Sdf2_Sdf2"
"Pafah1b2_Pafah1b2",-0.0352913251442163,0.0287585909476256,0.219763339953404,-0.0916571276476821,0.0210744773592496,9,10,1,1.49835707714035e-06,0.00308820143001901,9.71814525365936,0.373781159925321,0.0151263761015237,1.0001512866452,-0.306510201056721,0.759216214049789,NA,-0.0575657787153404,-0.0290099446367094,0.125762040185543,0.367411094256177,0.794269462893088,1,1,"51433758","mouse, laboratory","10090","Pafah1b2","18475","MGI:108415","","","Chr9  cM","Chr9:45876609-45923988(-)","platelet-activating factor acetylhydrolase, isoform 1b, subunit 2","mus[b]|PAF-AH 30|PAF-AH alpha2|Pafahb","ENSMUSG00000003131","ENSMUSG00000003131_18475","rat","10116","Pafah1b2","64189","","","","Chr8 q22","","platelet-activating factor acetylhydrolase 1b, catalytic subunit 2","","ENSRNOG00000057102","Pafah1b2","platelet-activating factor acetylhydrolase 1b, catalytic subunit 2","Pafah1b2_Pafah1b2"
"Msi1_Msi1",-0.0867647107798372,0.0550967599847151,0.115309601898713,-0.194752376014727,0.021222954455052,7,8,1,0.00574100929240249,0.0121054248789655,18.215228481126,0.0110357664157588,24.5061222534604,1.32461072321303,-1.57098329384462,0.116186529347132,NA,-0.119037804960982,-0.0651706505864276,0.0137446481469954,0.357985822852806,0.694411902250447,0.290156398555118,0.865264277671898,"51426337","mouse, laboratory","10090","Msi1","17690","MGI:107376","","","Chr5  cM","Chr5:115567734-115593757(+)","musashi RNA-binding protein 1","Msi1h|Musahi1","ENSMUSG00000054256","ENSMUSG00000054256_17690","rat","10116","Msi1","259272","","","","Chr12 q16","","musashi RNA-binding protein 1","Msi1h","ENSRNOG00000001156","Msi1","musashi RNA-binding protein 1","Msi1_Msi1"
"Ticam1_Ticam1",-0.0953708357738149,0.0594990975646617,0.108957727243334,-0.211986924113187,0.0212452525655568,9,10,1,0,0.0135080005322993,4.40706897255699,0.882639066101143,0,1,-1.43026577998246,0.152640752294624,NA,-0.137186277500675,-0.0622426647025463,0.0583611122482614,0.330466338738515,0.691188094153556,1,0.909777852392178,"51436119","mouse, laboratory","10090","Ticam1","106759","MGI:2147032","","","Chr17  cM","Chr17:56576462-56583767(-)","TIR domain containing adaptor molecule 1","TICAM-1|Trif","ENSMUSG00000047123","ENSMUSG00000047123_106759","rat","10116","Ticam1","363328","","","","Chr9","","TIR domain containing adaptor molecule 1","","ENSRNOG00000080915","Ticam1","TIR domain containing adaptor molecule 1","Ticam1_Ticam1"
"Chchd4_Chchd4",-0.0411576771597946,0.0318505533107175,0.196283628782155,-0.103583614536474,0.0212682602168846,9,10,1,5.36244152801894e-06,0.00419289237025651,9.82809765951877,0.364580222726239,0.0493767543669389,1.0004940114705,0.562216911290448,0.573968240664763,NA,-0.062784227788672,-0.0268448015133133,0.0553162318912172,0.462919663906393,0.768789568257439,1,1,"51426747","mouse, laboratory","10090","Chchd4","72170","MGI:1919420","","","Chr6  cM","Chr6:91441258-91450405(-)","coiled-coil-helix-coiled-coil-helix domain containing 4","2410012P20Rik|2810014D17Rik","ENSMUSG00000034203","ENSMUSG00000034203_72170","rat","10116","Chchd4","312559","","","","Chr4 q34","","coiled-coil-helix-coiled-coil-helix domain containing 4","","ENSRNOG00000022466","Chchd4","coiled-coil-helix-coiled-coil-helix domain containing 4","Chchd4_Chchd4"
"Chchd4_Chchd4-ps1",-0.0411576771597946,0.0318505533107175,0.196283628782155,-0.103583614536474,0.0212682602168846,9,10,1,5.36244152801894e-06,0.00419289237025651,9.82809765951877,0.364580222726239,0.0493767543669389,1.0004940114705,0.562216911290448,0.573968240664763,NA,-0.062784227788672,-0.0268448015133133,0.0553162318912172,0.462919663906393,0.768789568257439,1,1,"51426747","mouse, laboratory","10090","Chchd4","72170","MGI:1919420","","","Chr6  cM","Chr6:91441258-91450405(-)","coiled-coil-helix-coiled-coil-helix domain containing 4","2410012P20Rik|2810014D17Rik","ENSMUSG00000034203","ENSMUSG00000034203_72170","rat","10116","Chchd4-ps1","100361898","","","","Chr1","","coiled-coil-helix-coiled-coil-helix domain containing 4, pseudogene 1","","ENSRNOG00000069157","Chchd4-ps1","coiled-coil-helix-coiled-coil-helix domain containing 4, pseudogene 1","Chchd4_Chchd4-ps1"
"Chchd4_LOC120094797",-0.0411576771597946,0.0318505533107175,0.196283628782155,-0.103583614536474,0.0212682602168846,9,10,1,5.36244152801894e-06,0.00419289237025651,9.82809765951877,0.364580222726239,0.0493767543669389,1.0004940114705,0.562216911290448,0.573968240664763,NA,-0.062784227788672,-0.0268448015133133,0.0553162318912172,0.462919663906393,0.768789568257439,1,1,"51426747","mouse, laboratory","10090","Chchd4","72170","MGI:1919420","","","Chr6  cM","Chr6:91441258-91450405(-)","coiled-coil-helix-coiled-coil-helix domain containing 4","2410012P20Rik|2810014D17Rik","ENSMUSG00000034203","ENSMUSG00000034203_72170","rat","10116","LOC120094797","120094797","","","","Chr9","","mitochondrial intermembrane space import and assembly protein 40-like","AABR07067813.1","ENSRNOG00000032860","LOC120094797","mitochondrial intermembrane space import and assembly protein 40-like","Chchd4_LOC120094797"
"Ubxn6_Ubxn6",-0.0320903786944669,0.0272304397839134,0.238607495606332,-0.0854610599541238,0.0212803025651901,9,10,1,0,0.00315067917619649,3.46646060511263,0.942905733500896,0,1,-0.145379547053176,0.884411212184465,NA,-0.0401883986140348,-0.0239995851888015,0.153338523181889,0.397414240683729,0.800727882703713,1,1,"51436186","mouse, laboratory","10090","Ubxn6","66530","MGI:1913780","","","Chr17  cM","Chr17:56374045-56382028(-)","UBX domain protein 6","Ubxd1|Ubxdc2","ENSMUSG00000019578","ENSMUSG00000019578_66530","rat","10116","Ubxn6","363332","","","","Chr9","","UBX domain protein 6","Ubxd1","ENSRNOG00000048509","Ubxn6","UBX domain protein 6","Ubxn6_Ubxn6"
"Ndufv3_Ndufv3",-0.0445027997484401,0.033592314615891,0.18524044439326,-0.110342526552925,0.0213369270560447,9,10,1,0,0.0045942354455537,4.7510539958526,0.85544715616636,0,1,-1.41534615306806,0.15696702916782,NA,-0.0645005507341257,-0.0337140902796982,0.0967552673245697,0.32804757106738,0.760735844790122,1,0.913351885995763,"51437131","mouse, laboratory","10090","Ndufv3","78330","MGI:1890894","","","Chr17  cM","Chr17:31739089-31750300(+)","NADH:ubiquinone oxidoreductase core subunit V3","1500032D16Rik","ENSMUSG00000024038","ENSMUSG00000024038_78330","rat","10116","Ndufv3","64539","","","","Chr20 p12","","NADH:ubiquinone oxidoreductase subunit V3","Mipp65|Ndufv3l","ENSRNOG00000001182","Ndufv3","NADH:ubiquinone oxidoreductase subunit V3","Ndufv3_Ndufv3"
"Eif4e_Eif4e",-0.0464831259163068,0.0346069592188241,0.1792160306641,-0.114311519599648,0.0213452677670349,9,10,1,0.00103969750616005,0.00437935089914737,7.58962289542448,0.57597103717718,8.3837504066407,1.09150942593538,-1.21079574716966,0.225973695523845,NA,-0.0746784374900295,-0.0212938748543095,0.0715412405911771,0.515648385808364,0.753411546669975,1,0.963768026821326,"51427942","mouse, laboratory","10090","Eif4e","13684","MGI:95305","","","Chr3  cM","Chr3:138231952-138265457(+)","eukaryotic translation initiation factor 4E","eIF-4E|If4e","ENSMUSG00000028156","ENSMUSG00000028156_13684","rat","10116","Eif4e","117045","","","","Chr2 q44","","eukaryotic translation initiation factor 4E","","ENSRNOG00000052343","Eif4e","eukaryotic translation initiation factor 4E","Eif4e_Eif4e"
"Ube4b_Ube4b",-0.0369526523654303,0.029787399954537,0.214773355870616,-0.0953348834694129,0.0214295787385523,8,9,1,0,0.00368317165758921,3.99515950526843,0.857559922522569,0,1,0.339862438015161,0.733960124748961,NA,-0.0431743246877947,-0.0272769315415647,0.163835905626981,0.380608957270883,0.789683596754487,1,1,"51436191","mouse, laboratory","10090","Ube4b","63958","MGI:1927086","","","Chr4  cM","Chr4:149412873-149511206(-)","ubiquitination factor E4B","UFD2a|Ufd2p","ENSMUSG00000028960","ENSMUSG00000028960_63958","rat","10116","Ube4b","298652","","","","Chr5 q36","","ubiquitination factor E4B","ufd2a","ENSRNOG00000014986","Ube4b","ubiquitination factor E4B","Ube4b_Ube4b"
"Hacd1_Hacd1",-0.106455059888907,0.0652668922789173,0.102874936113359,-0.23437581813844,0.0214656983606265,9,10,1,0,0.0167002151160654,4.52430237452637,0.873651425072296,0,1,0.0745268896385342,0.940591145819784,NA,-0.152811551808021,-0.0564975289092712,0.0367717766453059,0.434665912264695,0.681252160793964,1,1,"51440743","mouse, laboratory","10090","Hacd1","30963","MGI:1353592","","","Chr2  cM","Chr2:14031642-14060846(-)","3-hydroxyacyl-CoA dehydratase 1","Ptpla","ENSMUSG00000063275","ENSMUSG00000063275_30963","rat","10116","Hacd1","680115","","","","Chr17 q12.3","","3-hydroxyacyl-CoA dehydratase 1","Ptpla","ENSRNOG00000043192","Hacd1","3-hydroxyacyl-CoA dehydratase 1","Hacd1_Hacd1"
"Tmem98_Tmem98",-0.0746910847703219,0.04910162680407,0.128221457805217,-0.170928504888626,0.0215463353479819,8,9,1,0.000500035325963218,0.0103589909701662,9.51276779536857,0.300900198977512,2.26906950102638,1.02321751659829,2.25449181582522,0.0241652449614623,NA,-0.102457190890899,-0.0476296388763812,0.0402271410008641,0.390737822333523,0.706905751274012,1,0.590549800735124,"51438150","mouse, laboratory","10090","Tmem98","103743","MGI:1923457","","","Chr11  cM","Chr11:80701192-80712859(+)","transmembrane protein 98","6530411B15Rik|Rwhs","ENSMUSG00000035413","ENSMUSG00000035413_103743","rat","10116","Tmem98","303356","","","","Chr10 q26","","transmembrane protein 98","","ENSRNOG00000021316","Tmem98","transmembrane protein 98","Tmem98_Tmem98"
"Zfand2b_Zfand2b",-0.0674958708555435,0.0454510210686338,0.137537386524953,-0.156578235210637,0.02158649349955,9,10,1,2.94511344881265e-07,0.00881202095595278,10.1288116092417,0.340158242867333,0.00132813152008106,1.0000132814916,0.299084532597488,0.764875547648969,NA,-0.0872808291951685,-0.0501611793922863,0.0729400019688254,0.292831619436534,0.723775758608206,1,1,"51438844","mouse, laboratory","10090","Zfand2b","68818","MGI:1916068","","","Chr1  cM","Chr1:75145290-75148270(+)","zinc finger, AN1 type domain 2B","1110060O18Rik","ENSMUSG00000026197","ENSMUSG00000026197_68818","rat","10116","Zfand2b","363253","","","","Chr9 q33","","zinc finger AN1-type containing 2B","RGD1306260","ENSRNOG00000018639","Zfand2b","zinc finger AN1-type containing 2B","Zfand2b_Zfand2b"
"Lrrn2_Lrrn2",-0.0472588325218296,0.0351269538286238,0.178505018856912,-0.116106396912534,0.0215887318688744,9,10,1,0,0.00471220768809499,5.15509601872552,0.820583918580288,0,1,-1.16401384034609,0.24441840295105,NA,-0.0595833213863114,-0.0278243125836264,0.115431314030238,0.457251745239883,0.753411546669975,1,0.963768026821326,"51435237","mouse, laboratory","10090","Lrrn2","16980","MGI:106037","","","Chr1  cM","Chr1:132808093-132867743(+)","leucine rich repeat protein 2, neuronal","5730406J09Rik|NLRR-2","ENSMUSG00000026443","ENSMUSG00000026443_16980","rat","10116","Lrrn2","289020","","","","Chr13 q13","","leucine rich repeat neuronal 2","","ENSRNOG00000009691","Lrrn2","leucine rich repeat neuronal 2","Lrrn2_Lrrn2"
"Arl3_Arl3",-0.0399500884977222,0.0313985816110617,0.203247623669509,-0.101490177621045,0.0215900006256003,9,10,1,9.34802132369712e-05,0.00391292204667185,7.67884664491973,0.566806319166446,0.862022612959629,1.00869518055219,-1.17764795507684,0.238936983386384,NA,-0.0719071230536023,-0.0322723452124498,0.052399861268902,0.313841074166914,0.776631447520919,1,0.963768026821326,"51425343","mouse, laboratory","10090","Arl3","56350","MGI:1929699","","","Chr19  cM","Chr19:46519548-46561621(-)","ADP-ribosylation factor-like 3","","ENSMUSG00000025035","ENSMUSG00000025035_56350","rat","10116","Arl3","64664","","","","Chr1 q54","","ARF like GTPase 3","","ENSRNOG00000019973","Arl3","ARF like GTPase 3","Arl3_Arl3"
"Clptm1_Clptm1",-0.0255229647038151,0.0240453516304995,0.288484949076848,-0.0726509878951955,0.0216050584875653,9,10,1,0,0.00231297494424622,4.93954932299148,0.839545722487489,0,1,0.68266416906869,0.494819075949734,NA,-0.0371302751241135,-0.0161996221276704,0.143497469049205,0.564111773036169,0.828711901529198,1,1,"51425914","mouse, laboratory","10090","Clptm1","56457","MGI:1927155","","","Chr7  cM","Chr7:19365505-19398955(-)","cleft lip and palate associated transmembrane protein 1","HS9|N14","ENSMUSG00000002981","ENSMUSG00000002981_56457","rat","10116","Clptm1","292696","","","","Chr1 q21","","CLPTM1 regulator of GABA type A receptor forward trafficking","","ENSRNOG00000018255","Clptm1","CLPTM1 regulator of GABA type A receptor forward trafficking","Clptm1_Clptm1"
"Bnip1_Bnip1",-0.0500036468262732,0.0365495891125209,0.171279458362264,-0.121639525136551,0.021632231484005,9,10,1,3.53738850708362e-06,0.00535014668994265,8.14604820641502,0.51949782561771,0.0242437471642502,1.00024249626182,1.6591296577864,0.0970896681789507,NA,-0.0623650190581379,-0.0336310352176465,0.0973789345713571,0.425419283832397,0.747772007611874,1,0.831514978239055,"51434657","mouse, laboratory","10090","Bnip1","224630","MGI:109328","","","Chr17  cM","Chr17:27000040-27011539(+)","BCL2/adenovirus E1B interacting protein 1","MGC:41600","ENSMUSG00000024191","ENSMUSG00000024191_224630","rat","10116","Bnip1","140932","","","","Chr10 q12","","BCL2 interacting protein 1","Bnip1l1","ENSRNOG00000020753","Bnip1","BCL2 interacting protein 1","Bnip1_Bnip1"
"Rangap1_Rangap1",-0.0419042491615478,0.0324548154651268,0.196649381200689,-0.10551451859809,0.0217060202749943,9,10,1,0,0.00403445942266602,4.4047787164719,0.882811649909638,0,1,-0.440410732898858,0.659639652788658,NA,-0.0512995544795325,-0.0268685021319123,0.137433304358322,0.456355864981317,0.769111527194607,1,1,"51433088","mouse, laboratory","10090","Rangap1","19387","MGI:103071","","","Chr15  cM","Chr15:81588449-81614120(-)","RAN GTPase activating protein 1","Fug1","ENSMUSG00000022391","ENSMUSG00000022391_19387","rat","10116","Rangap1","362965","","","","Chr7 q34","","RAN GTPase activating protein 1","","ENSRNOG00000031789","Rangap1","RAN GTPase activating protein 1","Rangap1_Rangap1"
"Lrif1_Lrif1",-0.146592041914265,0.0858734322298032,0.087808865006104,-0.314900876313521,0.0217167924849899,9,10,1,0.0287691934851972,0.0318898822644509,14.9775573273172,0.0915542858790817,45.4236269901691,1.8322947181189,-1.92289234167823,0.054493571752518,NA,-0.18539130262018,-0.104822932960533,0.00679344301478862,0.217200667562168,0.6603366405403,0.837859300949076,0.726109472548504,"51434373","mouse, laboratory","10090","Lrif1","321000","MGI:2445214","","","Chr3  cM","Chr3:106592303-106643893(+)","ligand dependent nuclear receptor interacting factor 1","2010012G17Rik|4933421E11Rik","ENSMUSG00000056260","ENSMUSG00000056260_321000","rat","10116","Lrif1","310775","","","","Chr2","","ligand dependent nuclear receptor interacting factor 1","RGD1306520","ENSRNOG00000017784","Lrif1","ligand dependent nuclear receptor interacting factor 1","Lrif1_Lrif1"
"Mien1_Mien1",-0.0448787227194167,0.0340189507270248,0.187093191029912,-0.111554640936228,0.0217971954973946,9,10,1,0.00073767913262168,0.00484961389612918,7.4569805896269,0.589653018503954,6.22012424868286,1.06632685529652,-0.226216140648093,0.821033317550979,NA,-0.0676609802716387,-0.0245314507915171,0.0703998920354506,0.471932553614587,0.763693945469747,1,1,"51426350","mouse, laboratory","10090","Mien1","103742","MGI:1913678","","","Chr11  cM","Chr11:98328534-98329817(-)","migration and invasion enhancer 1","1810046J19Rik","ENSMUSG00000002580","ENSMUSG00000002580_103742","rat","10116","Mien1","360617","","","","Chr10 q31","","migration and invasion enhancer 1","RGD1306682","ENSRNOG00000007227","Mien1","migration and invasion enhancer 1","Mien1_Mien1"
"Zbtb11_Zbtb11",-0.0413615901317296,0.0322262484443089,0.199325648525493,-0.104523876439415,0.0218006961759557,9,10,1,0.000651215808952243,0.0039659504519015,9.07703463038042,0.43019384068838,5.89654993684015,1.06266029495074,1.66618983104208,0.0956756107364661,NA,-0.065454164812668,-0.0130280124514497,0.0490870115177502,0.72955907202827,0.772941178668343,1,0.828230501525546,"51432155","mouse, laboratory","10090","Zbtb11","271377","MGI:2443876","","","Chr16  cM","Chr16:55794246-55829276(+)","zinc finger and BTB domain containing 11","9230110G02Rik|ZNF-U69274","ENSMUSG00000022601","ENSMUSG00000022601_271377","rat","10116","Zbtb11","304010","","","","Chr11 q12","","zinc finger and BTB domain containing 11","","ENSRNOG00000001613","Zbtb11","zinc finger and BTB domain containing 11","Zbtb11_Zbtb11"
